//
//	SKILL_ELEMENT_ICE = 0,
//	SKILL_ELEMENT_POISON = 1,
//	SKILL_ELEMENT_LIGHTNING = 2,
//	SKILL_ELEMENT_FIRE = 3,
//	SKILL_ELEMENT_EARTH = 4,
//	SKILL_ELEMENT_WIND = 5,
//	SKILL_ELEMENT_WATER = 6
//
//Index	Name	Damage	MP	AG	Range	Radio	Delay	Type	Effect	ReqLevl	ReqEner	ReqLead	RqKilCn	ReqGuildStatus	Element	DW	DK	FE	MG	DL	SU	RF	GL
419	"Summoned Monster Power Up(2)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
420	"Attack Increase Strengthener"	0	44	0	6	0	0	*	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
421	"Weapon Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
422	"Attack Increase Mastery"	0	48	0	6	0	0	*	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0
423	"Defense Increase Mastery"	0	36	0	6	0	0	*	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0
424	"Ice Arrow Strengthener"	105	15	18	8	0	0	0	57	0	0	0	0	0	2	0	0	3	0	0	0	0	0
425	"Cure"	0	72	10	6	0	3000	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
426	"Party Healing"	0	66	12	6	6	10000	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
427	"Poison Arrow"	27	22	27	6	0	500	1	159	0	0	0	0	0	5	0	0	3	0	0	0	0	0
428	"Summoned Monster Power Up(3)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
429	"Party Healing Strengthener"	22	72	13	6	6	10000	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
430	"Bless"	0	108	18	6	0	3000	*	142	0	0	0	0	0	0	0	0	3	0	0	0	0	0
431	"Multi-Shot Mastery"	40	12	8	6	6	0	*	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0
432	"Summon Satyros"	0	525	52	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
433	"Bless Strengthener"	0	118	20	6	0	3000	*	142	0	0	0	0	0	0	0	0	3	0	0	0	0	0
434	"Poison Arrow Strengthener"	27	24	29	6	0	500	1	160	0	0	0	0	0	5	0	0	3	0	0	0	0	0
435	"Bow Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
436	"Crossbow Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
437	"Shield Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
438	"Bow Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
439	"Crossbow Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
440	"Shield Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
441	"Infinity Arrow Strengthener"	0	55	11	0	0	200	*	143	0	0	0	0	0	0	0	0	3	0	0	0	0	0
442	"Minimum Attack Power Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
443	"Maximum Attack Power Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
445	"DimensionWings Absorb PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
446	"DimensionWings Defense PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
447	"DimensionWings Attack PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
448	"Fire Tome Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
449	"Earth Tome Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
450	"Wind Tome Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
451	"Fire Tome Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
452	"Earth Tome Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
453	"Wind Tome Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
454	"Sleep Strengthener"	0	30	7	6	0	0	*	72	0	0	0	0	0	0	0	0	0	0	0	3	0	0
455	"Chain Lightning Strengthener"	70	103	0	6	3	0	2	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0
456	"Lightning Shock Strengthener"	95	125	10	0	5	0	2	85	0	0	0	0	0	4	0	0	0	0	0	3	0	0
457	"Magic Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
458	"Drain Life Strengthener"	35	57	0	6	0	0	*	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0
459	"Weakness Strengthener"	3	55	17	0	5	4000	*	162	0	0	0	0	0	0	0	0	0	0	0	3	0	0
460	"Innovation Strengthener"	3	77	17	0	5	4000	*	163	0	0	0	0	0	0	0	0	0	0	0	3	0	0
461	"Blind"	0	115	25	3	0	10000	*	73	0	0	0	0	0	0	0	0	0	0	0	3	0	0
462	"Drain Life Mastery"	35	62	0	6	0	0	*	0	0	0	0	0	0	5	0	0	0	0	0	3	0	0
463	"Blind Strengthener"	0	126	27	3	0	10000	*	144	0	0	0	0	0	0	0	0	0	0	0	3	0	0
465	"Add Stick Damage"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
466	"Other World Tome Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
467	"Stick Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
468	"Other World Tome Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
469	"Berserker Strengthener"	0	150	65	0	0	0	*	150	0	0	0	0	0	0	0	0	0	0	0	3	0	0
470	"Berserker Proficiency"	0	165	82	0	0	0	*	151	0	0	0	0	0	0	0	0	0	0	0	3	0	0
471	"Minimum Wizardry/Curse Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
472	"Berserker Mastery"	0	181	90	5	0	0	*	152	0	0	0	0	0	0	0	0	0	0	0	3	0	0
473	"Maximum Wizardry/Curse Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
475	"Wing of Ruin Absorption PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
476	"Wing of Ruin Defense PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
478	"Wing of Ruin Attack PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
479	"Cyclone Strengthener"	0	9	0	2	0	300	5	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0
480	"Lightning Strengthener"	17	20	0	6	0	300	2	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0
481	"Twisting Slash Strengthener"	0	0	0	0	3	5	5	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0
482	"Power Slash Strengthener"	0	15	0	0	5	0	*	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0
483	"Flame Strengthener"	25	55	0	0	6	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0
484	"Blast Strengthener"	70	165	0	0	6	0	2	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0
485	"Weapon Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
486	"Inferno Strengthener"	100	220	0	0	6	0	3	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0
487	"Evil Spirit Strengthener"	45	108	0	0	6	0	*	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0
488	"Magic Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
489	"Ice Strengthener"	10	42	0	6	0	0	0	56	0	0	0	0	0	2	0	0	0	3	0	0	0	0
490	"Fire Slash Strengthener"	80	15	22	2	6	0	1	58	0	0	0	0	0	5	0	0	0	3	0	0	0	0
491	"Ice Mastery"	1	46	0	6	0	0	0	56	0	0	0	0	0	2	0	0	0	3	0	0	0	0
492	"Flame Strike Strengthener"	140	30	37	0	5	0	3	83	0	0	0	0	0	1	0	0	0	3	0	0	0	0
493	"Fire Slash Mastery"	80	17	24	2	6	0	1	164	0	0	0	0	0	5	0	0	0	3	0	0	0	0
494	"Flame Strike Mastery"	140	33	40	0	5	0	3	83	0	0	0	0	0	1	0	0	0	3	0	0	0	0
495	"Earth Prison"	26	180	15	0	4	10000	4	147	0	0	0	0	0	3	3	0	0	3	0	0	0	0
496	"Gigantic Storm Strengthener"	110	132	11	0	6	0	5	0	0	0	0	0	0	4	0	0	0	3	0	0	0	0
497	"Earth Prison Strengthener"	26	198	17	0	4	10000	0	147	0	0	0	0	0	3	3	0	0	3	0	0	0	0
504	"Emperor Cape Absorption PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
505	"Emperor Cape Defense PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
506	"Adds Command Stat"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
507	"Emperor Cape Attack PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
508	"Fire Burst Strengthener"	100	25	0	6	3	0	*	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0
509	"Force Wave Strengthener"	50	15	0	4	3	0	*	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0
510	"Dark Horse Strengthener (1)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
511	"Critical DMG Increase PowUp"	0	75	75	6	6	0	*	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0
512	"Earthshake Strengthener"	150	0	75	0	5	10000	4	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0
513	"Weapon Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
514	"Fire Burst Mastery"	100	27	0	6	3	0	*	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0
515	"Critical DMG Increase PowUp (2)"	0	82	82	6	6	0	*	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0
516	"Earthshake Mastery"	150	0	75	0	5	10000	4	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0
517	"Critical DMG Increase PowUp (3)"	0	100	100	6	6	0	*	148	0	0	0	0	0	0	0	0	0	0	3	0	0	0
518	"Fire Scream Strengthener"	130	45	11	4	6	0	*	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0
519	"Electric Spark Strengthener"	250	0	150	10	0	5000	*	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0
520	"Fire Scream Mastery"	130	49	12	4	6	32	*	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0
//521	"Steel Defense"	0	64	29	0	0	60000	*	134	0	0	0	0	0	0	0	0	0	0	3	0	0	0
522	"Critical DMG Increase Mastery"	0	110	110	6	6	300	*	149	0	0	0	0	0	0	0	0	0	0	3	0	0	0
523	"Chaotic Diseier Strengthener"	190	75	22	0	6	0	*	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0
524	"Steel Defense Enhancement"	0	70	31	0	0	60000	*	165	0	0	0	0	0	0	0	0	0	0	3	0	0	0
526	"Dark Spirit Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
527	"Scepter Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
528	"Shield Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
529	"Use Scepter : Pet Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
530	"Dark Spirit Strengthener (2)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
531	"Scepter Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
532	"Shield Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
533	"Command Attack Increase"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
534	"Dark Spirit Strengthener (3)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
535	"Pet Durability Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
536	"Dark Spirit Strengthener (4)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
538	"Dark Spirit Strengthener (5)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
539	"Spirit Lord"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
548	"Reigning Cloak Absorption PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
549	"Reigning Cloak Defense PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
550	"Reigning Cloak Attack PowUp"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
551	"Killing Blow Strengthener"	0	10	0	2	0	0	4	76	0	0	0	0	0	3	0	0	0	0	0	0	3	0
552	"Beast Uppercut Strengthener"	0	10	0	2	0	0	3	58	0	0	0	0	0	1	0	0	0	0	0	0	3	0
554	"Killing Blow Mastery"	0	10	0	2	0	0	4	76	0	0	0	0	0	3	0	0	0	0	0	0	3	0
555	"Beast Uppercut Mastery"	0	10	0	2	0	0	3	58	0	0	0	0	0	1	0	0	0	0	0	0	3	0
556	"Def Success Rate Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
557	"Weapon Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
558	"Chain Drive Strengthener"	0	22	22	4	0	700	0	86	0	0	0	0	0	2	0	0	0	0	0	0	3	0
559	"Dark Side Strengthener"	0	0	0	6	6	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0
560	"Dragon Roar Strengthener"	0	60	33	3	5	700	4	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0
561	"Dragon Roar Mastery"	0	66	36	3	5	700	4	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0
562	"Chain Drive Mastery"	0	24	22	4	0	700	0	86	0	0	0	0	0	2	0	0	0	0	0	0	3	0
563	"Dark Side Mastery"	0	0	0	6	6	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0
564	"Dragon Slasher Strengthener"	0	110	110	4	0	3000	5	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0
565	"Blood Howling"	0	100	200	4	0	120000	*	166	0	0	0	0	0	0	0	0	0	0	0	0	3	0
566	"Dragon Slasher Mastery"	0	121	121	4	0	3000	5	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0
567	"Blood Howling Strengthener"	0	110	220	4	0	120000	*	167	0	0	0	0	0	0	0	0	0	0	0	0	3	0
568	"Equipped Weapon Strengthener"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
569	"Def SuccessRate Increase PowUp"	0	55	11	0	5	0	*	153	0	0	0	0	0	0	0	0	0	0	0	0	3	0
571	"Equipped Weapon Mastery"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
572	"DefSuccessRate Increase Mastery"	0	60	12	0	5	0	*	154	0	0	0	0	0	0	0	0	0	0	0	0	3	0
573	"Stamina Increase Strengthener"	0	55	11	0	5	0	*	155	0	0	0	0	0	0	0	0	0	0	0	0	3	0
//574	"Defense Switch"	0	55	11	0	5	0	*	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
//575	"Ignore Defense Enhancement"	0	55	11	0	5	0	*	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
//577	"Ignore Defense Mastery"	0	55	11	0	5	0	*	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
578	"Durability Reduction (1)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
579	"Increase PvP Defense Rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
580	"Increase Maximum SD"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
581	"Increase Mana Recovery Rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
582	"Increase Poison Resistance"	0	0	0	0	0	0	*	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0
583	"Durability Reduction (2)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
584	"Increase SD Recovery Rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
585	"Increase HP Recovery Rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
586	"Increase Lightning Resistance"	0	0	0	0	0	0	*	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0
587	"Increases Defense"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
588	"Increases AG Recovery Rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
589	"Increase Ice Resistance"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
590	"Durability Reduction(3)"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
592	"Increase Defense Success Rate"	38	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
591	"Cast Invincibility"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
593	"Increase Set Defense"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
594	"Vengeance"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
595	"Increase Energy"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
596	"Stamina Increases"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
597	"Increase Agility"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
598	"Increase Strength"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
599	"Increase Attack Success Rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
600	"Increase Maximum HP"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
601	"Increase Maximum Mana"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
602	"Increase Maximum AG"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
603	"Increase PvP Attack Rate"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
604	"Decrease Mana"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
605	"Recover SD from Monster Kills"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
606	"Recover HP from Monster Kills"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
607	"Increase Minimum Attack Power"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
608	"Recover Mana from Monster Kills"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
609	"Increase Maximum Attack Power"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
610	"Increases Critical DMG Chance"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
611	"Recover Mana Fully"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
612	"Recovers HP Fully"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
613	"Increase Excellent DMG Chance"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
614	"Increase Double Damage Chance"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
615	"Increase Ignore Def Chance"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
616	"Recovers SD Fully"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
617	"Increase Triple Damage Chance"	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
618	"Spell of Protection"	0	30	0	0	0	60000	*	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
619	"Spell of Restriction"	0	30	0	3	0	60000	*	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
620	"Spell of Pursuit"	0	30	0	0	0	120000	*	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
621	"Shied-Burn"	0	30	0	3	0	60000	*	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
623	"Shield Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
624	"Weapon Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
625	"Protection Shield"	39	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
626	"Steel Armor"	35	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
627	"Strong Mind"	1	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
628	"Absorb Life"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
629	"Absorb Shield"	3	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
630	"Battle Mind"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
631	"Rush"	300	200	200	7	5	1000	*	0	0	0	0	0	0	4	0	3	0	1	0	0	0	0
632	"Steel Defense"	28	64	29	0	0	30000	*	134	0	0	0	0	0	0	0	3	0	0	0	0	0	0
633	"Steel Defense Enhancement"	3	70	31	0	0	30000	*	165	0	0	0	0	0	0	0	3	0	0	0	0	0	0
634	"Shield Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
635	"Weapon Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
636	"Protection Shield"	39	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
637	"Steel Armor"	35	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
638	"Strong Mind"	1	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
639	"Absorb Life"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
640	"Absorb Shield"	3	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
641	"Grand Magic PowUp"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
642	"Illusion"	0	1000	300	1	0	120000	*	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
643	"Shield Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
644	"Weapon Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
645	"Protection Shield"	39	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
646	"Steel Armor"	35	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
647	"Strong Mind"	1	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
648	"Absorb Life"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
649	"Absorb Shield"	3	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
650	"Marksman"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
651	"Shadow Step"	0	150	100	5	0	3000	*	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
652	"Evasion"	0	200	200	0	0	60000	*	214	0	0	0	0	0	0	0	0	3	0	0	0	0	0
653	"Shield Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
654	"Weapon Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
655	"Protection Shield"	39	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
656	"Steel Armor"	35	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
657	"Strong Mind"	1	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
658	"Absorb Life"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
659	"Absorb Shield"	3	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
660	"Pain of Curse"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
661	"Paralyze"	0	500	300	5	0	30000	*	209	0	0	0	0	0	0	0	0	0	0	0	3	0	0
662	"Paralyze PowUp"	41	650	390	5	0	30000	*	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
663	"Shield Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
664	"Weapon Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
665	"Protection Shield"	39	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
666	"Steel Armor"	35	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
667	"Strong Mind"	1	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
668	"Absorb Life"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
669	"Absorb Shield"	3	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
670	"Shield Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
671	"Weapon Block"	2	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
672	"Protection Shield"	39	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
673	"Steel Armor"	35	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
674	"Strong Mind"	1	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
675	"Absorb Life"	22	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
676	"Absorb Shield"	3	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
