//===================================================================================
//Index	Group	Type	X		Y		Text
//===================================================================================
//Lorencia NPC
117		1		6		49		49		"SPOT X"
117		1		6		69		61		"SPOT X"
117		1		6		123		7		"SPOT X"
117		1		6		135		16		"SPOT X"
117		1		6		135		43		"SPOT X"
117		1		6		142		55		"SPOT X"
117		1		6		82		8		"SPOT X"
117		1		6		92		22		"SPOT X"
117		1		6		107		23		"SPOT X"
117		1		6		114		41		"SPOT X"
117		1		6		235		8		"SPOT X"
117		1		6		25		36		"SPOT X"
117		1		6		235		32		"SPOT X"
117		1		6		222		36		"SPOT X"
117		1		6		202		9		"SPOT X"
117		1		6		164		7		"SPOT X"
117		1		6		165		22		"SPOT X"
117		1		6		200		49		"SPOT X"
117		1		6		173		47		"SPOT X"
117		1		6		166		75		"SPOT X"
117		1		6		173		96		"SPOT X"
117		1		6		245		79		"SPOT X"
117		1		6		223		67		"SPOT X"
117		1		6		215		89		"SPOT X"
117		1		6		243		117		"SPOT X"
117		1		6		186		89		"SPOT X"
117		1		6		222		118		"SPOT X"
117		1		6		206		118		"SPOT X"
117		1		6		181		111		"SPOT X"
117		1		6		161		112		"SPOT X"

118		0		0		120		119		"Deep Dungeon 2"
118		0		0		137		132		"Deep Dungeon 4"

118		1		6		50		31		"SPOT X"
118		1		6		24		34		"SPOT X"
118		1		6		41		52		"SPOT X"
118		1		6		64		54		"SPOT X"
118		1		6		75		74		"SPOT X"
118		1		6		12		59		"SPOT X"
118		1		6		54		79		"SPOT X"
118		1		6		82		101		"SPOT X"
118		1		6		104		114		"SPOT X"
118		1		6		39		88		"SPOT X"
118		1		6		34		104		"SPOT X"
118		1		6		50		101		"SPOT X"
118		1		6		5		102		"SPOT X"
118		1		6		82		116		"SPOT X"
118		1		6		46		128		"SPOT X"
118		1		6		9		139		"SPOT X"
118		1		6		44		155		"SPOT X"
118		1		6		77		147		"SPOT X"
118		1		6		17		173		"SPOT X"
118		1		6		89		155		"SPOT X"
118		1		6		62		174		"SPOT X"
118		1		6		18		190		"SPOT X"
118		1		6		47		190		"SPOT X"
118		1		6		62		196		"SPOT X"
118		1		6		77		213		"SPOT X"
118		1		6		11		210		"SPOT X"
118		1		6		27		227		"SPOT X"
118		1		6		49		242		"SPOT X"
118		1		6		87		174		"SPOT X"
118		1		6		102		180		"SPOT X"
118		1		6		124		200		"SPOT X"
118		1		6		119		213		"SPOT X"
118		1		6		134		227		"SPOT X"
118		1		6		165		240		"SPOT X"
118		1		6		91		222		"SPOT X"
118		1		6		69		244		"SPOT X"
118		1		6		124		158		"SPOT X"
118		1		6		162		156		"SPOT X"
118		1		6		153		200		"SPOT X"
118		1		6		176		203		"SPOT X"
118		1		6		186		169		"SPOT X"
118		1		6		202		182		"SPOT X"
118		1		6		203		201		"SPOT X"
118		1		6		204		215		"SPOT X"
118		1		6		185		227		"SPOT X"

119		0		0		120		118		"Deep Dungeon 3"
119		0		0		136		132		"Deep Dungeon 5"

119		1		6		5		13		"SPOT X"
119		1		6		24		15		"SPOT X"
119		1		6		76		13		"SPOT X"
119		1		6		65		39		"SPOT X"
119		1		6		85		48		"SPOT X"
119		1		6		102		23		"SPOT X"
119		1		6		97		64		"SPOT X"
119		1		6		115		91		"SPOT X"
119		1		6		116		14		"SPOT X"
119		1		6		115		35		"SPOT X"
119		1		6		125		62		"SPOT X"
119		1		6		138		6		"SPOT X"
119		1		6		149		27		"SPOT X"
119		1		6		161		62		"SPOT X"
119		1		6		178		34		"SPOT X"
119		1		6		178		14		"SPOT X"
119		1		6		232		18		"SPOT X"
119		1		6		245		39		"SPOT X"
119		1		6		205		32		"SPOT X"
119		1		6		222		42		"SPOT X"
119		1		6		185		61		"SPOT X"
119		1		6		204		63		"SPOT X"
119		1		6		183		93		"SPOT X"
119		1		6		209		82		"SPOT X"
119		1		6		245		69		"SPOT X"
119		1		6		236		92		"SPOT X"
119		1		6		177		117		"SPOT X"
119		1		6		198		121		"SPOT X"
119		1		6		229		135		"SPOT X"
119		1		6		242		162		"SPOT X"
119		1		6		242		162		"SPOT X"
119		1		6		182		152		"SPOT X"
119		1		6		186		132		"SPOT X"
119		1		6		220		119		"SPOT X"
119		1		6		240		182		"SPOT X"
119		1		6		249		214		"SPOT X"
119		1		6		224		233		"SPOT X"
119		1		6		244		245		"SPOT X"
119		1		6		208		244		"SPOT X"
119		1		6		199		166		"SPOT X"

120		0		0		119		119		"Deep Dungeon 4"

120		1		6		37		9		"SPOT X"
120		1		6		83		13		"SPOT X"
120		1		6		7		57		"SPOT X"
120		1		6		31		63		"SPOT X"
120		1		6		59		46		"SPOT X"
120		1		6		79		37		"SPOT X"
120		1		6		112		65		"SPOT X"
120		1		6		85		63		"SPOT X"
120		1		6		91		71		"SPOT X"
120		1		6		65		79		"SPOT X"
120		1		6		96		111		"SPOT X"
120		1		6		40		91		"SPOT X"
120		1		6		89		143		"SPOT X"
120		1		6		49		123		"SPOT X"
120		1		6		27		116		"SPOT X"
120		1		6		61		149		"SPOT X"
120		1		6		38		151		"SPOT X"
120		1		6		26		162		"SPOT X"
120		1		6		99		187		"SPOT X"
120		1		6		68		196		"SPOT X"
120		1		6		41		208		"SPOT X"
120		1		6		18		192		"SPOT X"
120		1		6		19		218		"SPOT X"
120		1		6		8		242		"SPOT X"
120		1		6		239		9		"SPOT X"
120		1		6		225		19		"SPOT X"
120		1		6		179		27		"SPOT X"
120		1		6		119		17		"SPOT X"
120		1		6		137		29		"SPOT X"
120		1		6		146		44		"SPOT X"
120		1		6		169		49		"SPOT X"
120		1		6		167		67		"SPOT X"
120		1		6		152		73		"SPOT X"
120		1		6		145		98		"SPOT X"
120		1		6		183		156		"SPOT X"
120		1		6		199		171		"SPOT X"
120		1		6		128		156		"SPOT X"
120		1		6		111		156		"SPOT X"
120		1		6		131		183		"SPOT X"
120		1		6		167		189		"SPOT X"
120		1		6		172		208		"SPOT X"
120		1		6		194		207		"SPOT X"
120		1		6		159		242		"SPOT X"
120		1		6		105		232		"SPOT X"
120		1		6		86		224		"SPOT X"
120		1		6		218		69		"SPOT X"
120		1		6		205		71		"SPOT X"
120		1		6		244		63		"SPOT X"
120		1		6		244		107		"SPOT X"
120		1		6		244		133		"SPOT X"
120		1		6		178		92		"SPOT X"
120		1		6		157		120		"SPOT X"
120		1		6		167		136		"SPOT X"
120		1		6		223		162		"SPOT X"



114		1		4		208		62		"Lady Lady Lia"
114		1		2		217		62		"Mayan Goblin"
114		1		4		215		56		"Priest James"
114		1		2		198		49		"Marketer Julia"
114		1		2		188		21		"Mirachu Temple of Mirage"
114		1		5		190		14		"Warehouse Messenger Seifert"
114		1		4		194		13		"Lady Lady Lia"
114		1		2		230		31		"Maya Brin"
114		1		2		234		30		"Assistant Jerint"
114		1		4		230		23		"Lady Lady"
114		1		2		223		94		"Karon"
114		1		5		234		23		"Seffer of the Warehouse"
114		1		4		226		94		"Lady Lady"
114		1		2		226		96		"Mayan Goblin"
114		1		5		230		97		"Selfer of the Warehouse"
114		1		5		186		85		"Warehouse Messenger Seifert"
114		1		2		187		93		"Angel of the Archangel"
114		1		4		190		95		"Lady Lady Lia"
114		1		2		193		96		"Maya Brin"
114		1		5		197		66		"Warehouse Messenger Seifert"
114		1		2		168		57		"Soul Plaza Lugard"
114		1		4		169		53		"Lady Lady"
114		1		2		43		67		"Eileen"
//114		0		0		236		59		"Enchanted Maze Entrance"

//===================================================================================
//Index	Group	Type	X		Y		Text
//===================================================================================
122		0		0		134		103		"Entrance to Darkness Gate"
122		0		0		134		72		"Entrance to Safe Zone"
122		0		0		147		112		"Entrance to Water Gate"
122		0		0		179		102		"Entrance to Safe Zone"
122		0		0		142		127		"Entrance to Wind Gate"
122		0		0		160		149		"Entrance to Safe Zone"
122		0		0		127		127		"Entrance to Fire Gate"
122		0		0		107		156		"Entrance to Safe Zone"
122		0		0		122		114		"Entrance to Earth Gate"
122		0		0		91		105		"Entrance to Safe Zone"
122		0		0		242		92		"Entrance to Boss Zone (Water)"
122		0		0		13		158		"Entrance to Boss Zone"

122		1		6		91		143		"SPOT X"
122		1		6		54		159		"SPOT X"
122		1		6		23		135		"SPOT X"
122		1		6		21		185		"SPOT X"
122		1		6		71		221		"SPOT X"
122		1		6		97		190		"SPOT X"
122		1		6		105		233		"SPOT X"
122		1		6		126		191		"SPOT X"
122		1		6		182		76		"SPOT X"
122		1		6		225		108		"SPOT X"
122		1		6		239		113		"SPOT X"
122		1		6		203		81		"SPOT X"
122		1		6		199		53		"SPOT X"
122		1		6		231		69		"SPOT X"
122		1		6		234		42		"SPOT X"
122		1		6		219		22		"SPOT X"
122		1		6		49		49		"SPOT X"
122		1		6		43		103		"SPOT X"
122		1		6		35		68		"SPOT X"
122		1		6		40		31		"SPOT X"
122		1		6		61		8		"SPOT X"
122		1		6		82		40		"SPOT X"
122		1		6		98		22		"SPOT X"
122		1		6		89		54		"SPOT X"
122		1		6		104		75		"SPOT X"
122		1		6		84		104		"SPOT X"
122		1		6		23		93		"SPOT X"
122		1		6		83		124		"SPOT X"
122		1		6		127		163		"SPOT X"
122		1		6		149		182		"SPOT X"
122		1		6		155		221		"SPOT X"
122		1		6		192		225		"SPOT X"
122		1		6		169		148		"SPOT X"
122		1		6		201		177		"SPOT X"
122		1		6		215		221		"SPOT X"
122		1		6		227		195		"SPOT X"
122		1		6		228		145		"SPOT X"
122		1		6		149		17		"SPOT X"
122		1		6		125		14		"SPOT X"
122		1		6		129		68		"SPOT X"
122		1		6		78		21		"SPOT X"
122		1		6		24		10		"SPOT X"
122		1		6		21		28		"SPOT X"
122		1		6		18		44		"SPOT X"
122		1		6		114		40		"SPOT X"
122		1		6		163		52		"SPOT X"
122		1		6		194		110		"SPOT X"
122		1		6		197		152		"SPOT X"
122		1		6		173		166		"SPOT X"
122		1		6		192		192		"SPOT X"
122		1		6		175		180		"SPOT X"
122		1		6		115		212		"SPOT X"
122		1		6		63		194		"SPOT X"
122		1		6		69		166		"SPOT X"
122		1		6		51		185		"SPOT X"
122		1		6		35		205		"SPOT X"

end
